names	scores	logfoldchanges	pvals	pvals_adj
Hnrnpm	5.9365916	1.2131915	2.9100821156393283e-09	1.9275277031595096e-07
Tspo	5.9252825	1.1810976	3.1176057955378596e-09	2.0586685609495108e-07
Uqcrh	5.892474	0.6763359	3.8045541074031185e-09	2.489446570944107e-07
Rps3	5.885639	0.47521254	3.965186133797539e-09	2.5867149301235725e-07
Rps3a1	5.8804197	0.47001716	4.0922769906911825e-09	2.659573555356653e-07
Rps19-ps6	5.8328223	1.6473033	5.449753496618091e-09	3.5127321567902815e-07
Ndufb7	5.811323	1.7480209	6.198103905737791e-09	3.9713844996022583e-07
Rpl5	5.8029966	0.69881207	6.514010445872786e-09	4.1614505194594985e-07
Taldo1	5.795416	1.4124084	6.8152082678345785e-09	4.3314650215177687e-07
Dctn3	5.7952914	1.3848393	6.820257061622013e-09	4.3314650215177687e-07
Myl12a	5.778639	0.68017906	7.530739200012031e-09	4.727071265868017e-07
Krt25	5.7713065	29.749723	7.865918878299077e-09	4.908924460667975e-07
2310046K23Rik	5.7667084	1.0841005	8.083470054047648e-09	5.030154722681581e-07
Pkm	5.7484403	1.1339269	9.007052910397291e-09	5.549155037174329e-07
Mrpl52	5.7481914	1.001011	9.020300180837258e-09	5.549155037174329e-07
Rack1	5.747197	0.59906274	9.073478925299734e-09	5.566012228238556e-07
Rpl18a	5.716253	0.37782288	1.0889854337061664e-08	6.661320813036047e-07
Rpl18	5.7105365	0.44729945	1.1262063765293921e-08	6.869540759434791e-07
Naca	5.690031	0.6223877	1.2701621853617456e-08	7.725806216483429e-07
Ndufs2	5.6841903	1.4015125	1.3143392162354746e-08	7.949727365874679e-07
Tmem256	5.664555	1.1711063	1.4740670043083276e-08	8.890929839114446e-07
Stmn1	5.6445465	3.7237859	1.656170565575459e-08	9.933803061797468e-07
Top1	5.642931	0.9575785	1.671792643599505e-08	9.99972813109255e-07
Emg1	5.63535	1.6261635	1.7470279250956284e-08	1.036361922708514e-06
Minos1	5.632119	0.8026259	1.7800855692172896e-08	1.0530791149618887e-06
Rps5	5.6240416	0.47586137	1.865409374323624e-08	1.0991229529407335e-06
Rps15a	5.613602	0.40247017	1.9815733595620487e-08	1.1627204769843292e-06
Trmt112	5.5988135	2.1189566	2.158236277196124e-08	1.262948399281732e-06
